50	63	48
50	12	7
63	48	13
12	55	18
12	41	4
63	34	24
63	26	9
26	69	3
50	43	1
69	78	3
55	21	11
55	61	12
55	29	5
78	76	18
34	58	2
58	13	2
78	47	2
13	57	5
13	31	18
57	1	1
63	65	6
41	16	9
63	46	2
34	37	7
46	14	2
65	53	7
48	28	1
53	17	5
53	7	1
7	33	2
46	60	1
26	18	5
37	24	5
31	35	1
33	66	3
34	25	3
46	19	1
26	30	2
46	74	5
65	39	1
58	0	1
21	23	12
13	38	11
43	36	2
33	56	4
19	15	1
30	62	1
47	70	1
37	11	1
66	9	1
12	2	4
13	79	4
12	44	2
78	52	1
14	49	1
62	8	1
21	68	2
78	20	1
57	40	1
69	54	2
56	64	2
50	45	2
16	27	1
29	5	1
28	22	1
78	4	1
41	10	2
52	51	5
55	71	1
34	32	1
20	6	1
46	73	4
36	72	1
45	77	1
33	42	4
48	75	1
58	3	3
39	59	2
43	67	1
