13	170	28
13	70	1
13	205	1
13	177	2
13	34	1
13	93	1
170	0	3
170	224	20
170	249	2
170	69	1
170	134	1
70	179	1
70	140	3
70	116	2
70	180	1
70	1	1
70	94	1
70	105	1
140	231	5
140	20	1
140	188	1
239	0	1
239	190	2
239	169	3
239	137	1
113	175	7
113	160	1
113	5	1
113	79	1
82	160	1
82	176	1
0	184	7
0	126	2
0	195	2
0	228	1
27	193	2
27	35	2
206	199	2
206	241	1
206	53	2
206	60	1
206	124	1
184	185	1
184	28	1
184	168	1
224	40	1
224	24	1
224	145	2
224	175	1
160	194	1
160	138	1
160	171	4
160	111	1
160	38	1
160	56	1
160	25	1
160	232	1
147	185	5
147	152	1
147	149	1
147	163	1
147	198	1
249	154	1
249	183	1
197	40	2
197	16	1
197	54	1
197	193	1
197	130	1
197	55	1
197	90	1
185	237	1
185	200	1
185	146	1
185	117	1
42	218	1
220	146	3
220	47	1
152	22	2
152	52	2
152	17	1
152	192	1
152	148	1
203	11	2
203	14	2
203	87	3
203	68	1
203	144	1
203	104	1
92	241	1
92	236	1
121	229	2
121	43	2
121	142	1
121	179	2
121	10	1
121	115	1
149	186	2
149	219	1
149	127	1
22	96	1
22	114	1
126	71	1
126	156	1
126	66	1
194	233	1
205	151	1
205	95	1
207	182	1
177	199	1
33	38	2
33	222	1
72	162	1
43	133	3
135	151	2
135	80	1
135	39	1
201	199	3
201	235	2
201	165	1
201	48	1
162	188	1
162	23	2
231	6	1
231	246	1
231	244	1
231	30	1
223	195	2
223	178	1
142	141	1
45	39	1
45	49	1
45	213	1
174	212	1
6	110	1
6	98	1
6	8	2
236	29	1
236	247	1
236	153	1
236	100	1
154	132	1
154	73	1
234	73	1
234	189	1
225	110	1
225	226	1
16	36	1
16	32	1
16	129	1
143	175	1
36	158	2
36	216	1
110	242	1
110	210	2
35	37	1
46	179	1
218	73	1
218	65	2
242	31	1
242	103	1
242	74	1
139	65	3
176	57	1
116	187	3
116	11	1
44	179	2
44	106	1
229	238	1
229	125	1
221	24	2
221	76	1
221	18	1
221	78	1
157	124	1
157	150	1
157	84	1
136	20	1
136	112	1
136	214	1
65	63	1
167	11	1
167	97	2
235	217	1
235	64	1
235	128	1
235	4	1
14	196	1
112	182	1
112	204	1
112	59	1
187	208	1
67	130	1
67	75	1
132	245	1
132	41	1
2	246	1
2	202	1
178	61	1
243	138	1
138	26	1
171	107	1
5	120	1
5	227	1
228	212	1
111	85	1
111	91	1
111	191	1
237	181	2
24	81	1
54	109	1
17	108	1
17	161	1
240	216	2
39	77	1
102	212	1
95	164	1
245	7	1
159	15	2
131	244	1
118	69	2
219	211	1
212	51	1
193	3	2
193	50	1
83	148	1
137	230	2
9	188	1
9	101	2
99	208	1
129	122	1
145	15	1
145	88	1
62	88	1
123	48	1
208	209	1
208	215	1
25	86	1
86	172	1
3	19	1
232	166	1
12	94	1
117	21	1
104	89	1
155	91	1
183	119	1
58	98	1
58	173	1
248	78	1
