65	28	8
65	5	16
65	30	3
65	21	1
65	40	1
28	74	2
61	46	1
58	62	2
5	3	1
5	4	2
5	50	1
2	16	1
2	26	1
59	70	2
59	64	1
59	13	1
59	45	1
26	11	1
22	49	5
60	34	2
60	73	1
60	43	3
43	56	3
43	55	1
13	24	4
51	74	1
51	17	3
51	49	1
25	40	3
27	38	6
63	9	4
63	7	1
7	55	2
38	23	5
38	35	2
73	69	1
48	45	1
48	46	1
69	71	4
47	0	1
47	68	2
47	8	4
39	1	1
39	32	1
0	44	1
12	46	3
41	29	2
41	45	1
57	42	1
57	11	5
15	34	6
36	72	1
8	72	7
44	31	1
44	19	1
62	53	3
14	18	5
30	53	2
66	18	3
6	52	2
6	68	2
18	40	3
42	33	2
42	40	15
24	72	4
24	56	1
24	40	4
37	67	3
37	23	3
54	55	1
70	23	2
1	10	1
1	55	1
20	33	2
