36	65	46
36	64	2
36	69	1
36	19	2
65	30	5
65	75	2
65	18	1
65	51	1
66	8	4
72	22	5
72	34	1
20	35	2
31	25	3
30	25	3
30	40	1
30	22	1
54	11	4
54	17	2
54	61	7
54	32	2
54	43	2
73	59	1
76	10	4
67	24	2
67	48	2
67	28	2
41	22	3
40	47	3
7	68	1
7	2	3
15	19	7
15	23	1
15	35	1
15	16	2
45	1	3
45	42	2
45	14	1
45	37	1
77	69	4
77	29	4
75	8	1
71	43	3
24	18	1
48	62	1
22	11	3
21	62	5
49	64	4
37	70	1
12	16	2
12	46	1
44	1	3
44	10	3
57	23	1
57	6	1
51	0	2
51	39	2
4	23	1
59	46	1
59	63	1
68	3	3
1	33	2
1	53	1
61	56	1
35	13	1
35	52	5
2	69	3
2	78	1
9	52	6
74	0	2
28	58	1
28	26	3
52	55	2
0	50	2
27	43	4
8	33	1
60	19	8
78	38	3
43	5	3
79	26	3
